63,Specialized_S-WorksTarmacSL7_2022_56,496.00,73.50,563.00,151.00,73.50,991.00,410.00,72.00,555.00,398.00,https://www.specialized-onlinestore.jp/shop/c/c50103010/,2021-11-11 10:43:11,2021-11-17 10:41:19
62,Specialized_S-WorksTarmacSL7_2022_54,475.00,73.50,541.00,131.00,73.00,978.00,410.00,72.00,534.00,387.00,https://www.specialized-onlinestore.jp/shop/c/c50103010/,2021-11-11 10:43:11,2021-11-17 10:41:19
61,Specialized_S-WorksTarmacSL7_2022_52,458.00,73.50,531.00,113.00,72.50,975.00,410.00,74.00,517.00,383.00,https://www.specialized-onlinestore.jp/shop/c/c50103010/,2021-11-11 10:43:11,2021-11-17 10:41:19
60,Specialized_S-WorksTarmacSL7_2022_49,447.00,74.00,509.00,102.00,71.75,973.00,410.00,74.00,504.00,378.00,https://www.specialized-onlinestore.jp/shop/c/c50103010/,2021-11-11 10:43:11,2021-11-17 10:41:19
59,Specialized_S-WorksTarmacSL7_2022_44,435.00,74.00,496.00,93.00,70.50,970.00,410.00,74.00,491.00,369.00,https://www.specialized-onlinestore.jp/shop/c/c50103010/,2021-11-11 10:43:11,2021-11-17 10:41:19
58,GIANT_TCRADVANCEDSLDISC_2022_ML,500.00,73.00,565.00,165.00,73.00,991.00,405.00,67.00,562.00,393.00,https://www.giant.co.jp/giant22/bike_datail.php?p_id=00000004,2021-11-11 10:43:11,2021-11-17 10:41:19
57,GIANT_TCRADVANCEDSLDISC_2022_M,470.00,73.50,550.00,145.00,73.00,980.00,405.00,69.50,545.00,383.00,https://www.giant.co.jp/giant22/bike_datail.php?p_id=00000004,2021-11-11 10:43:11,2021-11-17 10:41:19
56,GIANT_TCRADVANCEDSLDISC_2022_S,445.00,75.50,535.00,130.00,72.30,977.00,405.00,69.50,528.00,383.00,https://www.giant.co.jp/giant22/bike_datail.php?p_id=00000004,2021-11-11 10:43:11,2021-11-17 10:41:19
6,GIANT_TCRADVANCEDSLDISC_2022_XS,425.00,75.50,520.00,120.00,71.00,976.00,405.00,72.00,517.00,376.00,https://www.giant.co.jp/giant22/bike_datail.php?p_id=00000004,2021-11-11 10:43:11,2021-11-17 10:41:19
,Specialized_S-WORKS-AETHOS-FRAMESET_2022_49,431,75.5,508,109,71.75,973,410,74,514,375,https://www.specialized-onlinestore.jp/shop/g/g77222-0149/,,
,Specialized_S-WORKS-AETHOS-FRAMESET_2022_52,462,74,531,120,72.5,075,410,74,527,380,https://www.specialized-onlinestore.jp/shop/g/g77222-0149/,,
,Specialized_S-WORKS-AETHOS-FRAMESET_2022_54,481,74,540,137,73,078,410,72,544,384,https://www.specialized-onlinestore.jp/shop/g/g77222-0149/,,
,Specialized_S-WORKS-AETHOS-FRAMESET_2022_56,504,73.5,562,157,73.5,001,410,72,565,395,https://www.specialized-onlinestore.jp/shop/g/g77222-0149/,,
,Specialized_S-WORKS-AETHOS-FRAMESET_2022_58,532,73.5,577,184,73.5,1005,410,72,591,402,https://www.specialized-onlinestore.jp/shop/g/g77222-0149/,,
